method,section,line_item,unit,scenario,value_num,value_text,method_formula,source,note,link_location
SOTP,DMX IPO Anchor,DMX post-IPO charter capital,VND bn,Bull,12807.8,12807.8,Linked to SOTP bridge,21_Target_Multiple_Bridge / MWG IPO article,,https://mwg.vn/tin-tuc/dien-may-xanh-dmx-ipo-chao-ban-hon-179-5-trieu-co-phieu-gia-du-kien-80000-dong-5002407
SOTP,DMX IPO Anchor,DMX post-IPO charter capital,VND bn,Base,12807.8,12807.8,Linked to SOTP bridge,21_Target_Multiple_Bridge / MWG IPO article,,https://mwg.vn/tin-tuc/dien-may-xanh-dmx-ipo-chao-ban-hon-179-5-trieu-co-phieu-gia-du-kien-80000-dong-5002407
SOTP,DMX IPO Anchor,DMX post-IPO charter capital,VND bn,Bear,12807.8,12807.8,Linked to SOTP bridge,21_Target_Multiple_Bridge / MWG IPO article,,https://mwg.vn/tin-tuc/dien-may-xanh-dmx-ipo-chao-ban-hon-179-5-trieu-co-phieu-gia-du-kien-80000-dong-5002407
SOTP,DMX IPO Anchor,Implied MWG ownership after planned IPO,%,Bull,0.8598510282796421,0.859851028279642,Linked to SOTP bridge,21_Target_Multiple_Bridge,,
SOTP,DMX IPO Anchor,Implied MWG ownership after planned IPO,%,Base,0.8598510282796421,0.859851028279642,Linked to SOTP bridge,21_Target_Multiple_Bridge,,
SOTP,DMX IPO Anchor,Implied MWG ownership after planned IPO,%,Bear,0.8598510282796421,0.859851028279642,Linked to SOTP bridge,21_Target_Multiple_Bridge,,
SOTP,BHX,BHX EV/Sales multiple,x,Bull,0.9,0.9,Linked to SOTP bridge,21_Target_Multiple_Bridge / Shinhan 2026,,https://shinhansec.com.vn/uploads/report/MWG_Update_Q1_2026_EN.pdf
SOTP,BHX,BHX EV/Sales multiple,x,Base,0.8,0.8,Linked to SOTP bridge,21_Target_Multiple_Bridge / Shinhan 2026,,https://shinhansec.com.vn/uploads/report/MWG_Update_Q1_2026_EN.pdf
SOTP,BHX,BHX EV/Sales multiple,x,Bear,0.6000000000000001,0.6,Linked to SOTP bridge,21_Target_Multiple_Bridge / Shinhan 2026,,https://shinhansec.com.vn/uploads/report/MWG_Update_Q1_2026_EN.pdf
SOTP,An Khang,An Khang EV/Sales multiple,x,Bull,0.4,0.4,Linked to SOTP bridge,21_Target_Multiple_Bridge / FRT proxy,,16_Trading_Comps
SOTP,An Khang,An Khang EV/Sales multiple,x,Base,0.3,0.3,Linked to SOTP bridge,21_Target_Multiple_Bridge / FRT proxy,,16_Trading_Comps
SOTP,An Khang,An Khang EV/Sales multiple,x,Bear,0.2,0.2,Linked to SOTP bridge,21_Target_Multiple_Bridge / FRT proxy,,16_Trading_Comps
SOTP,AVAKids,AVAKids EV/Sales multiple,x,Bull,0.7,0.7,Linked to SOTP bridge,21_Target_Multiple_Bridge / domestic proxy median,,16_Trading_Comps
SOTP,AVAKids,AVAKids EV/Sales multiple,x,Base,0.5,0.5,Linked to SOTP bridge,21_Target_Multiple_Bridge / domestic proxy median,,16_Trading_Comps
SOTP,AVAKids,AVAKids EV/Sales multiple,x,Bear,0.3,0.3,Linked to SOTP bridge,21_Target_Multiple_Bridge / domestic proxy median,,16_Trading_Comps
SOTP,Holding Company,Holding company discount,%,Bull,0.05,0.05,Linked to SOTP bridge,21_Target_Multiple_Bridge,,
SOTP,Holding Company,Holding company discount,%,Base,0.1,0.1,Linked to SOTP bridge,21_Target_Multiple_Bridge,,
SOTP,Holding Company,Holding company discount,%,Bear,0.15,0.15,Linked to SOTP bridge,21_Target_Multiple_Bridge,,
SOTP,Equity Bridge,Consolidated net cash inclusion factor,%,Bull,1.0,1.0,Linked to SOTP bridge,21_Target_Multiple_Bridge,,
SOTP,Equity Bridge,Consolidated net cash inclusion factor,%,Base,0.5,0.5,Linked to SOTP bridge,21_Target_Multiple_Bridge,,
SOTP,Equity Bridge,Consolidated net cash inclusion factor,%,Bear,0.0,0.0,Linked to SOTP bridge,21_Target_Multiple_Bridge,,
SOTP,Section,Line Item,Unit,Bull,,Bull,Method / Formula,Source,,Link / Location
SOTP,Section,Line Item,Unit,Base,,Base,Method / Formula,Source,,Link / Location
SOTP,Section,Line Item,Unit,Bear,,Bear,Method / Formula,Source,,Link / Location
SOTP,Segment Value,DMX Investment attributable value,VND bn,Bull,98882.86825215883,98882.8682521588,DMX 100% equity value x implied MWG ownership,DMX IPO anchor,,
SOTP,Segment Value,DMX Investment attributable value,VND bn,Base,88100.33635753213,88100.3363575321,DMX 100% equity value x implied MWG ownership,DMX IPO anchor,,
SOTP,Segment Value,DMX Investment attributable value,VND bn,Bear,85985.1028279642,85985.1028279642,DMX 100% equity value x implied MWG ownership,DMX IPO anchor,,
SOTP,Segment Value,BHX value,VND bn,Bull,49950.0,49950.0,BHX 2026E revenue x EV/Sales,07_Revenue_Drivers + assumption,,
SOTP,Segment Value,BHX value,VND bn,Base,44400.0,44400.0,BHX 2026E revenue x EV/Sales,07_Revenue_Drivers + assumption,,
SOTP,Segment Value,BHX value,VND bn,Bear,33300.00000000001,33300.0,BHX 2026E revenue x EV/Sales,07_Revenue_Drivers + assumption,,
SOTP,Segment Value,An Khang value,VND bn,Bull,1144.0,1144.0,An Khang 2026E revenue x EV/Sales,07_Revenue_Drivers + assumption,,
SOTP,Segment Value,An Khang value,VND bn,Base,858.0,858.0,An Khang 2026E revenue x EV/Sales,07_Revenue_Drivers + assumption,,
SOTP,Segment Value,An Khang value,VND bn,Bear,572.0,572.0,An Khang 2026E revenue x EV/Sales,07_Revenue_Drivers + assumption,,
SOTP,Segment Value,AVAKids value,VND bn,Bull,1176.0,1176.0,AVAKids 2026E revenue x EV/Sales,07_Revenue_Drivers + assumption,,
SOTP,Segment Value,AVAKids value,VND bn,Base,840.0,840.0,AVAKids 2026E revenue x EV/Sales,07_Revenue_Drivers + assumption,,
SOTP,Segment Value,AVAKids value,VND bn,Bear,504.0,504.0,AVAKids 2026E revenue x EV/Sales,07_Revenue_Drivers + assumption,,
SOTP,Segment Value,Other / unallocated value,VND bn,Bull,0.0,0.0,Set to zero,Analyst assumption,,
SOTP,Segment Value,Other / unallocated value,VND bn,Base,0.0,0.0,Set to zero,Analyst assumption,,
SOTP,Segment Value,Other / unallocated value,VND bn,Bear,0.0,0.0,Set to zero,Analyst assumption,,
SOTP,Subtotal,Gross SOTP segment value,VND bn,Bull,151152.86825215883,151152.868252159,SUM segment values,Formula,,
SOTP,Subtotal,Gross SOTP segment value,VND bn,Base,134198.33635753213,134198.336357532,SUM segment values,Formula,,
SOTP,Subtotal,Gross SOTP segment value,VND bn,Bear,120361.1028279642,120361.102827964,SUM segment values,Formula,,
SOTP,Adjustment,Holding company discount,VND bn,Bull,-7557.643412607942,-7557.64341260794,- Gross SOTP x holding discount,Formula,,
SOTP,Adjustment,Holding company discount,VND bn,Base,-13419.833635753213,-13419.8336357532,- Gross SOTP x holding discount,Formula,,
SOTP,Adjustment,Holding company discount,VND bn,Bear,-18054.16542419463,-18054.1654241946,- Gross SOTP x holding discount,Formula,,
SOTP,Adjustment,Net cash / (debt) adjustment,VND bn,Bull,18284.153128744998,18284.153128745,- Net debt x inclusion factor,16_Trading_Comps + assumption,,
SOTP,Adjustment,Net cash / (debt) adjustment,VND bn,Base,9142.076564372499,9142.0765643725,- Net debt x inclusion factor,16_Trading_Comps + assumption,,
SOTP,Adjustment,Net cash / (debt) adjustment,VND bn,Bear,0.0,0.0,- Net debt x inclusion factor,16_Trading_Comps + assumption,,
SOTP,Equity Value,SOTP equity value,VND bn,Bull,161879.37796829588,161879.377968296,Gross value + adjustments,Formula,,
SOTP,Equity Value,SOTP equity value,VND bn,Base,129920.57928615142,129920.579286151,Gross value + adjustments,Formula,,
SOTP,Equity Value,SOTP equity value,VND bn,Bear,102306.93740376958,102306.93740377,Gross value + adjustments,Formula,,
SOTP,Output,SOTP target price,VND/share,Bull,110240.25069833641,110240.250698336,Equity value / shares,Formula,,
SOTP,Output,SOTP target price,VND/share,Base,88476.23095131665,88476.2309513167,Equity value / shares,Formula,,
SOTP,Output,SOTP target price,VND/share,Bear,69671.27356876449,69671.2735687645,Equity value / shares,Formula,,
SOTP,Output,Upside / Downside,%,Bull,0.4043344038004639,0.404334403800464,Target / current - 1,Formula,,
SOTP,Output,Upside / Downside,%,Base,0.12708574460276,0.12708574460276,Target / current - 1,Formula,,
SOTP,Output,Upside / Downside,%,Bear,-0.11246785262720393,-0.112467852627204,Target / current - 1,Formula,,
SOTP,Section,Line Item,Unit,Bull,,Bull,Method / Formula,Source,,Link / Location
SOTP,Section,Line Item,Unit,Base,,Base,Method / Formula,Source,,Link / Location
SOTP,Section,Line Item,Unit,Bear,,Bear,Method / Formula,Source,,Link / Location
SOTP,Cross-check,SOTP target price,VND/share,Bull,110240.25069833641,110240.250698336,Linked,SOTP output,,
SOTP,Cross-check,SOTP target price,VND/share,Base,88476.23095131665,88476.2309513167,Linked,SOTP output,,
SOTP,Cross-check,SOTP target price,VND/share,Bear,69671.27356876449,69671.2735687645,Linked,SOTP output,,
SOTP,Cross-check,DCF target price,VND/share,Bull,142403.42665100578,142403.426651006,Linked,20_DCF,,
SOTP,Cross-check,DCF target price,VND/share,Base,110920.3620782273,110920.362078227,Linked,20_DCF,,
SOTP,Cross-check,DCF target price,VND/share,Bear,87068.089902568,87068.089902568,Linked,20_DCF,,
SOTP,Cross-check,SOTP discount / premium to DCF,%,Bull,-0.2258595646823377,-0.225859564682338,SOTP target / DCF target - 1,Formula,,
SOTP,Cross-check,SOTP discount / premium to DCF,%,Base,-0.20234455339301705,-0.202344553393017,SOTP target / DCF target - 1,Formula,,
SOTP,Cross-check,SOTP discount / premium to DCF,%,Bear,-0.1998070286516117,-0.199807028651612,SOTP target / DCF target - 1,Formula,,
SOTP,Cross-check,SOTP premium to current market cap,%,Bull,0.4043344038004639,0.404334403800464,SOTP equity value / market cap - 1,16_Trading_Comps,,
SOTP,Cross-check,SOTP premium to current market cap,%,Base,0.1270857446027598,0.12708574460276,SOTP equity value / market cap - 1,16_Trading_Comps,,
SOTP,Cross-check,SOTP premium to current market cap,%,Bear,-0.11246785262720393,-0.112467852627204,SOTP equity value / market cap - 1,16_Trading_Comps,,
SOTP,Check,Actual,Expected,Bull,,Difference,,,,
SOTP,Check,Actual,Expected,Base,,Status,,,,
SOTP,Check,Actual,Expected,Bear,,Notes,,,,
SOTP,DMX ownership reasonableness,0.8598510282796421,80%-100%,Base,,OK,,,,
SOTP,DMX ownership reasonableness,0.8598510282796421,80%-100%,Bear,,Ownership = pre-IPO charter capital / post-IPO charter capital.,,,,
SOTP,Base target nonblank,88476.23095131665,>0,Base,,OK,,,,
SOTP,Base target nonblank,88476.23095131665,>0,Bear,,SOTP target price should be positive.,,,,
SOTP,Net debt sign check,-18284.153128744998,Net cash allowed,Base,,OK - net cash,,,,
SOTP,Net debt sign check,-18284.153128744998,Net cash allowed,Bear,,MWG currently has negative net debt in the linked model.,,,,
